"Number" "A" "B" "C"
"1" 8.15277310472498 120.119697226183 -19.9730763584375
"2" 4.83146238750758 127.444687091065 -17.6775842159986
"3" -36.2827393317865 141.404497199928 13.3305739285424
"4" -17.7694197933543 -127.432770534059 -53.5002410318702
"5" 25.9688056175644 -72.9976248054808 32.9571663681418
"6" -34.9730561135594 4.29842837742877 32.0193630829453
"7" -26.9079081708146 57.0696019664296 11.9220941327512
"8" -2.87835080482006 -8.68321624773881 -19.0063128853217
"9" -40.369995073628 44.5912643166397 62.0721696317196
"10" -26.840416862007 0.221728622750042 -19.8149830615148
"11" -12.5381050123556 110.251738854341 19.0871760109439
"12" -38.1787625777829 17.9458459368049 -8.68863323237747
"13" -32.807594743137 -33.7638432740363 38.0387304117903
"14" -0.789769005222865 4.82802927629131 -23.7708504684269
"15" 13.1411947901998 129.770455311562 62.5124504696578
"16" 23.5445939745995 99.6393292474068 25.2986607933417
"17" 35.7822098090989 -39.5894306067442 29.4255629042163
"18" 9.75391101646545 41.7616794731579 -23.2967579970136
"19" -25.2475719155913 -13.0434431631788 65.3001278825104
"20" -2.75828451048131 -28.5008887599068 105.157893737778
"21" -41.4391280856598 154.79433728836 36.5549137350172
"22" 0.574274783346684 6.92844514961738 116.905311704613
"23" 3.48283072382475 9.30851205938944 36.1898827319965
"24" -15.4841109938298 -171.57773444767 -47.6588816056028
"25" -12.8990108634049 92.7249186526208 27.2613534517586
"26" -25.8735036069602 -93.4144766728321 50.622495347634
"27" -14.3034869164706 18.569900932192 80.6018369458616
"28" -20.0363761935942 -120.889861116339 57.1757386950776
"29" 14.2596427008165 21.1014213634455 -9.31840128265321
"30" -3.59765125440687 1.9192567159297 -17.9521154332906
"31" -42.7361642291565 -30.7429784999608 -16.3160942075774
"32" -42.2763727968857 -34.1172727116807 -27.7453974075615
"33" -12.2416522169194 112.758969968932 105.51115273498
"34" -18.7695761535431 60.3593329973305 -49.0363496169448
"35" -58.1084529277938 27.2939321402874 -22.7331504877657
"36" 11.984249347499 -91.5773155019356 2.48831429053098
"37" -11.6397407683158 13.7032746192665 -59.2567985644564
"38" -5.49304466611401 56.5449838978005 100.13858590275
"39" 19.3791889840602 -35.5214061740209 8.6251125857234
"40" 43.7251646097986 33.2102091257761 93.1128660729155
"41" -7.20664281280066 129.851312367044 97.598204431124
"42" 1.31212674299822 -27.0669931017475 94.2594270268455
"43" -19.170433289984 -118.335323739103 107.510313964449
"44" -18.2073396158093 110.373319985364 3.96875138394535
"45" -40.6387368128406 9.98252104158833 79.571195198223
"46" -8.04173843968984 -21.4197375667073 19.5687193237245
"47" -29.5749494257912 -18.2336500576508 95.4140812112018
"48" 1.87489619802112 60.7790078169755 -32.2975985007361
"49" 8.66094760622389 66.162443802051 -21.280162660405
"50" 0.472367880518437 -46.945755954622 79.2204907536507
"51" 96.6133445557697 64.9013465599834 101.613323469646
"52" 98.7462098829169 -35.8167980500693 -58.0438462318853
"53" 96.3801507292134 63.9254849844255 -37.0231114933267
"54" 16.8240773421514 16.1264955552966 89.1855337657034
"55" 114.873991058668 107.355438532941 81.6370225232095
"56" 60.4124246873611 -3.54609246112751 117.092570378445
"57" 40.1703262728917 40.690840163205 -48.6525529995561
"58" 82.9030952123589 -90.5349428681543 -26.6497071459889
"59" 132.637025354259 66.2680159880936 10.6789273442701
"60" 67.9761468152932 -8.2420440341301 -22.9055282240734
"61" 128.939811158637 32.3235329987386 -2.0618527662009
"62" 86.903803228097 -41.1371521037477 -12.1800145413727
"63" 62.9393738798305 17.3706075457756 67.0532598020509
"64" 73.8801312125537 15.4719154537369 10.2626078948379
"65" 76.8203302751673 -27.2294447774444 59.3885874934494
"66" 31.8279276851553 119.029096694866 -25.8719957387075
"67" 69.6594664812804 118.58190881504 107.540266108699
"68" 131.26697221933 -40.5260449725859 20.2963073272258
"69" 97.8391827123085 46.8623079264138 28.6921813292429
"70" 64.6459177583288 3.51064893346066 -51.9093664968386
"71" 104.148958614669 26.0699963121693 -46.3762571755797
"72" 89.0140721038504 24.9655247296823 -7.9962850548327
"73" 90.4240380863252 36.3514529213804 53.405806501396
"74" 84.6137339983492 51.5947576057248 93.1854787096381
"75" 30.1735461353321 -45.4283118333267 61.5837521944195
"76" 107.870992742064 -75.0065203475612 -47.0864373492077
"77" 69.826232518653 -83.0105229557724 94.3508184794337
"78" 114.668550986735 51.347105659424 -10.0212602410465
"79" 110.190082321591 158.905667284264 50.8395555848256
"80" 57.0553070100158 -59.5282169071083 26.2391973752528
"81" 110.413000790883 -111.86439953373 96.8879857845604
"82" 98.4566497405517 88.2833734383783 -10.9802079247311
"83" 48.0247147024613 76.0120364378516 91.9086452526972
"84" 80.298915418706 -86.5553683413452 51.8464586092159
"85" 74.7625821094022 125.758666573588 41.9210266694427
"86" 99.6753773244265 -131.155256549842 -47.8591694450006
"87" 113.541412893779 94.3633257056837 -58.1951320404187
"88" 67.1839994664931 -42.6361482995782 30.2218678873032
"89" 20.9762255803972 -28.3580552711364 -37.5774829415604
"90" 32.1551182328562 -29.3400659742746 103.664176985621
"91" 98.7873385183231 30.980769273387 66.6423761006445
"92" 46.7245829911394 -71.0578387816297 -32.9104571091011
"93" 109.243189422875 63.5222278943124 42.3763010976836
"94" 91.2495283773788 194.170113569275 62.2303658165038
"95" 46.8258769591348 -51.3998905433276 52.897968403995
"96" 68.6205202526315 -48.5563481404254 -48.1136688776314
"97" 58.5169543670732 -117.301602804491 -35.7353268703446
"98" 108.581176727392 -126.162212934488 57.3215214069933
"99" 55.4411512740858 72.9994777458795 19.8137039970607
"100" 88.690115814512 67.8051206885409 65.8586965268478
